2026-09-24T11:51:15.002+03:00 [s1] [O] [SYS] CHATTER NODE LoRa-Chatter-1B44
2026-09-24T11:55:50.611+03:00 [s2] [O] [SYS] CFG LINK heartbeat=ON retry=ON attempts=5 diag=OFF
2026-09-24T11:55:50.624+03:00 [s1] [O] [SYS] DIAG OFF
2026-09-24T11:56:50.765+03:00 [s1] [I] /config
2026-09-24T11:56:50.768+03:00 [s2] [I] /config
2026-09-24T11:56:50.836+03:00 [s1] [O] [SYS] CFG schema=2 storage=NVS freq_oob=OFF
2026-09-24T11:56:50.838+03:00 [s1] [O] [SYS] CFG RADIO power=2 dBm freq=470 MHz sf=7 bw=500 kHz
2026-09-24T11:56:50.841+03:00 [s1] [O] [SYS] CFG LINK heartbeat=OFF retry=ON attempts=5 diag=OFF
2026-09-24T11:56:50.858+03:00 [s2] [O] [SYS] CFG schema=2 storage=NVS freq_oob=OFF
2026-09-24T11:56:50.859+03:00 [s2] [O] [SYS] CFG RADIO power=2 dBm freq=470 MHz sf=7 bw=500 kHz
2026-09-24T11:56:50.863+03:00 [s2] [O] [SYS] CFG LINK heartbeat=ON retry=ON attempts=5 diag=OFF
2026-09-24T11:57:23.323+03:00 [s1] [I] /heartbeat off
2026-09-24T11:57:23.325+03:00 [s1] [I] /diag off
2026-09-24T11:57:23.328+03:00 [s1] [I] /echo-loop stop
2026-09-24T11:57:23.330+03:00 [s2] [I] /heartbeat off
2026-09-24T11:57:23.334+03:00 [s2] [I] /diag off
2026-09-24T11:57:23.335+03:00 [s2] [I] /echo-loop stop
2026-09-24T11:57:23.392+03:00 [s2] [O] [SYS] HEARTBEAT OFF
2026-09-24T11:57:23.393+03:00 [s2] [O] [SYS] DIAG already OFF
2026-09-24T11:57:23.395+03:00 [s2] [O] [SYS] ECHO LOOP already stopped
2026-09-24T11:57:23.412+03:00 [s1] [O] [SYS] HEARTBEAT OFF
2026-09-24T11:57:23.416+03:00 [s1] [O] [SYS] DIAG already OFF
2026-09-24T11:57:23.418+03:00 [s1] [O] [SYS] ECHO LOOP already stopped
2026-09-24T11:57:54.782+03:00 [s1] [I] /cancel all
2026-09-24T11:57:54.784+03:00 [s1] [I] /power 2
2026-09-24T11:57:54.787+03:00 [s1] [I] /config
2026-09-24T11:57:54.789+03:00 [s2] [I] /cancel all
2026-09-24T11:57:54.791+03:00 [s2] [I] /power 2
2026-09-24T11:57:54.793+03:00 [s2] [I] /config
2026-09-24T11:57:54.850+03:00 [s2] [O] [SYS] DELIVERY CANCEL: nothing pending
2026-09-24T11:57:54.851+03:00 [s2] [O] [SYS] POWER 2 dBm SAVED
2026-09-24T11:57:54.854+03:00 [s2] [O] [SYS] CFG schema=2 storage=NVS freq_oob=OFF
2026-09-24T11:57:54.855+03:00 [s2] [O] [SYS] CFG RADIO power=2 dBm freq=470 MHz sf=7 bw=500 kHz
2026-09-24T11:57:54.858+03:00 [s2] [O] [SYS] CFG LINK heartbeat=OFF retry=ON attempts=5 diag=OFF
2026-09-24T11:57:54.872+03:00 [s1] [O] [SYS] DELIVERY CANCEL: nothing pending
2026-09-24T11:57:54.873+03:00 [s1] [O] [SYS] POWER 2 dBm SAVED
2026-09-24T11:57:54.876+03:00 [s1] [O] [SYS] CFG schema=2 storage=NVS freq_oob=OFF
2026-09-24T11:57:54.878+03:00 [s1] [O] [SYS] CFG RADIO power=2 dBm freq=470 MHz sf=7 bw=500 kHz
2026-09-24T11:57:54.880+03:00 [s1] [O] [SYS] CFG LINK heartbeat=OFF retry=ON attempts=5 diag=OFF
